mcc_code,description,bill,merchant
7211,Laundry Services - Family and Commercial,,1
7216,Dry Cleaners,,1
7217,Carpet and Upholstery Cleaning,,1
7221,Photographic Studios,,1
7230,Beauty and Barber Shops,,1
7251,"Shoe Repair Shops, Shoe Shine Parlors, and Hat Cleaning Shops",,1
7261,Funeral Services and Crematories,,1
7273,Dating Services,,1
7276,Tax Preparation Services,,
7277,"Counseling Services - Debt, Marriage, and Personal",,1
7278,Buying and Shopping Services and Clubs,,1
7296,"Clothing Rental - Costumes, Uniforms and Formal Wear?",,1
7297,Massage Parlors,,1
7298,Health and Beauty Spas,,1
7299,Miscellaneous Personal Services - Not Elsewhere Classified,,1
7311,Advertising Services,,1
7321,Consumer Credit Reporting Agencies,,1
7332,Blueprinting and Photocopying Services,,1
7333,"Commercial Photography, Art, and Graphics",,1
7338,"Quick Copy, Reproduction Service",,1
7339,Stenographic Service,,1
7342,Exterminating and Disinfecting Services,,1
7349,"Cleaning, Maintenance & Janitorial Services",,1
7361,Employment Agencies and Temporary Help Services,,1
7372,"Computer Programming, Data Processing, and Integrated Systems Design Services",,1
7375,Information Retrieval Services (Business to Business MCC)?,,1
7379,"Computer Maintenance, Repair and Services (Business to Business MCC)",,1
7392,"Management, Consulting, and Public Relations Services",,1
7393,"Detective Agencies, Protective Agencies, and Security Services, including Armored Cars and Guard Dogs",,1
7394,"Equipment, Tool, Furniture, and Appliance Rental and Leasing?",,1
7395,Photofinishing Laboratories and Photo Developing,,1
7399,Business Services,,1
7511,Truck Stops,,1
7512,Automobile Rental Agency,,1
7513,Truck and Utility Trailer Rentals,,1
7519,Motor Home and Recreational Vehicle Rentals,,1
7523,Parking Lots and Garages,,1
7524,Express Payment Service Mechants - Parking Lots and Garages,,
7531,Automotive Top & Body Shops,,1
7534,Tire Retreading & Repair,,1
7535,Automotive Paint Shops,,1
7538,Automotive Service Shops (Non-Dealer),,1
7542,Car Washes,,1
7549,Towing Services,,1
7622,Electronic Repair Shops,,1
7623,Air Conditioning and Refrigeration Repair Shops?,,1
7629,Electrical and Small Appliance Repair Shops?,,1
7631,"Watch, Clock, and Jewelry Repair Shops",,1
7641,"Furniture - Reupholster, Repair, and Refinishing",,1
7692,Welding Services,,1
7699,Miscellaneous Repair Shops and Related Services,,1
7778,Citishare Cash Advance,,1
7800,Government-Owned Lotteries  ,,1
7801,Government-Licensed Casinos (Online Gambling)  ,,1
7802,Government-Licensed Horse/Dog Racing  ,,1
7829,Motion Picture & Video Tape Production and Distribution (Business to Business MCC),,1
7832,Motion Picture Theater,,1
7841,DVD/Video Tape Rental Stores,,1
7911,"Dance Halls, Studios & Schools",,1
7922,Theatrical Producers (except Motion Pictures) and Ticket Agencies,,1
7929,"Bands, Orchestras & Misc Entertainment",,1
7932,Billiards & Pool Establishments,,1
7933,Bowling Alleys,,1
7941,"Commercial Sports, Professional Sports Clubs, Athletic Fields, and Sports Promoters",,1
7991,Tourist Attractions and Exhibits,,1
7992,Public Golf Courses,,1
7993,Video Amusement Game Supply,,1
7994,Video Game Arcades and Establishments,,1
7995,"Betting, including Lottery Tickets, Casino Gaming Chips, Off- Track Betting, and Wagers at Race Track",,1
7996,"Amusement Parks, Circuses, Carnivals, and Fortune Tellers?",,1
7997,"Membership Clubs (Sports, Recreation, Athletic), Country Clubs, and Private Golf Courses",,1
7998,"Aquarium, Seaquarium, Dolphinariums",,1
7999,Recreation Services - Not Elsewhere Classified,,1
8011,Doctors and Physicians - Not Elsewhere Classified?,,1
8021,Dentists and Orthodontists,,1
8031,Osteopathic Physicians,,1
8041,Chiropractors,,1
8042,Optometrists and Ophthalmologists,,1
8043,"Opticians, Optical Goods and Eyeglasses",,1
8049,Podiatrists and Chiropodists,,1
8050,Nursing and Personal Care Facilities,,1
8062,Hospitals,,1
8071,Medical and Dental Laboratories,,1
8099,Medical Services Health Practitioners - No Elsewhere Classified,,1
8111,Legal Services and Attorneys,,1
8211,Elementary and Secondary Schools,,1
8220,"Colleges, Universities, Professional Schools, and Junior Colleges",,1
8241,Correspondence Schools,,1
8244,Business and Secretarial Schools,,1
8249,Trade and Vocational Schools,,1
8299,Schools and Educational Services - Not Elsewhere Classified,,1
8351,Child Care Services,,1
8398,Charitable and Social Service Organizations,,1
8641,"Civic, Social, and Fraternal Associations",,1
8651,Political Organizations,,1
8661,Religious Organizations,,1
8675,Automobile Associations,,1
8699,Membership Organizations - Not Elsewhere Classified,,1
8734,Testing Laboratories (Not Medical) - (Business to Business MCC),,1
8911,"Architectural, Engineering, and Surveying Services",,1
8931,"Accounting, Auditing, and Bookkeeping Services?",,1
8999,Professional Services - Not Elsewhere Classified,,1
9211,"Court Costs, including Alimony and Child Support",,1
9222,Fines,,1
9223,Bail & Bond Payments,,
9311,Tax Payments,,
9399,Government Services - Not Elsewhere Classified?,,1
9401,i-Purchasing,,1
9402,Postal Services,,1
9405,U.S. Fed Government Agencies,,1
9700,Automated Referral Service,,1
9701,Visa Credential Server,,1
9702,GCAS Emergency Services,,1
9751,"U.K. Supermarkets, Electronic Hot File",,1
9752,"U.K. Petrol Stations, Electronic Hot File",,1
9753,Consumer Electronics/Furniture Store,,1
9754,"Quasi Cash - Gambling-Horse Racing, Dog Racing, State Lotteries",,1
9950,Intra-Company Purchases,,1
