mcc_code,description,bill,merchant
3293,Ecuatoriana,,1
3294,Ethiopian Airlines,,1
3295,Kenya Airways,,1
3296,Air Berlin-AIRBERLIN,,1
3297,Tarom Romanian Air Transport,,1
3298,Air Mauritius,,1
3299,Wideroe's Flyveselskap,,1
3351,Affiliated Auto Rental,,1
3352,American International,,1
3353,Brooks Rent a Car?,,1
3354,Action Auto Rental?,,1
3355,SIXT Car Rental,,1
3357,Hertz,,1
3359,Payless Car Rental?,,1
3360,Snappy Car Rental?,,1
3361,Airways Rent a Car?,,1
3362,Altra Auto Rental?,,1
3364,Agency Rent a Car?,,1
3366,Budget Rent a Car?,,1
3368,Holiday R-A-C,,1
3370,Rent-a-Wreck,,1
3374,Accent Rent-A-Car,,1
3376,Ajax R-A-C,,1
3380,Triangle Rent a Car?,,1
3381,Europ Car,,1
3385,Tropical R-A-C?,,1
3386,Showcase Rental Cars,,1
3387,Alamo Rent a Car?,,1
3388,"Merchants Rent-A-Car, Inc",,1
3389,Avis R-A-C,,1
3390,Dollar R-A-C,,1
3391,Europe by Car?,,1
3393,National Car Rental?,,1
3394,Kemwell Group R-A-C?,,1
3395,Thrify Car Rental?,,1
3396,Tilden R-A-C,,1
3398,Econo Car R-A-C?,,1
3400,Auto Host Car Rentals,,1
3405,Enterprise R-A-C?,,1
3409,General Rent-a-Car?,,1
3412,A-1 R-A-C,,1
3420,ANSA International?,,1
3421,Allstate Rent-a-Car?,,1
3423,Avcar Rent-a-Car?,,1
3425,Automate Rent-a-Car?,,1
3427,Avon Rent-a-Car?,,1
3428,Carey Rent-a-Car,,1
3429,Insurance Rent-a-Car?,,1
3430,Major Rent-a-Car?,,1
3431,Replacement Rent-a-Car,,1
3432,Reserve Rent-a-Car?,,1
3433,Ugly Duckling R-A-C?,,1
3434,USA Rent-a-Car?,,1
3435,Value Rent-a-Car?,,1
3436,Autohansa Rent-a-Car?,,1
3438,Interenet Rent-a-Car?,,1
3439,Millville Rent-a-Car,,1
3441,Advantage Rent A Car,,1
3501,Holiday Inns,,1
3502,Best Western Hotels?,,1
3503,Sheraton,,1
3504,Hilton,,1
3505,Forte Hotels,,1
3506,Golden Tulip Hotels?,,1
3507,Friendship Inns,,1
3508,Quality Inns,,1
3509,Marriott,,1
3510,Days Inn Colonial Resort,,1
3511,Arabella Hotels,,1
3512,Intercontinental Hotels,,1
3513,Westin,,1
3514,Amerisuites,,1
3515,Rodeway Inn,,1
3516,LaQuinta Motor Inns,,1
3517,Americana Hotels,,1
3518,Sol Hotels,,1
3519,Pullman International Hotels,,1
3520,Meridien Hotels,,1
3521,Royal Lahaina Resort,,1
3522,Tokyo Group,,1
3523,Peninsula Hotels,,1
3524,WelcomGroup Hotels,,1
3525,Dunfey Hotels,,1
3526,Prince Hotels,,1
3527,Downtowner Passport,,1
3528,Red Lion Inns,,1
3529,CP (Canadian Pacific)?,,1
3530,Renaissance Hotels,,1
3531,Kauai Coconut Beach Resort,,1
3532,Royal Kona Resort,,1
3533,Hotel Ibis,,1
3534,Southern Pacific,,1
3535,Hilton International?,,1
3536,AMFAC Hotels,,1
3537,ANA Hotels,,1
3538,Concorde Hotels,,1
3539,Summerfield Suites Hotel,,1
3540,Iberotel Hotels,,1
3541,Hotel Okura,,1
3542,Royal Hotels,,1
3543,Four Seasons,,1
3544,Cigna Hotels,,1
3545,Shangri-La International,,1
3546,Hotel Sierra,,1
3548,Hotels Melia,,1
3549,Auberge des Governeurs,,1
3550,Regal 8 Inns,,1
3551,Mirage Hotel and Casino,,1
3552,Coast Hotel,,1
3553,Park Inn by Radisson,,1
3554,Pinehurst Resort,,1
3555,Treasure Island Hotel and Casino,,1
3556,Barton Creek Resort,,1
3557,Manhattan East Suite Hotels,,1
3558,Jolly Hotels,,1
3559,Candlewood Suites,,1
3560,Aladdin Resort and Casino,,1
3561,Golden Nugget,,1
3562,Comfort Inns,,1
3563,Journey's End Motels,,1
3564,Sam's Town Hotel and Casino?,,1
3565,Relax Inns,,1
